Date,Open,High,Low,Close,Adj Close,Volume
2016-08-17,60.143131,60.524811,59.732822,60.391220,51.938896,8668532
2016-08-18,60.190842,60.725189,60.190842,60.715649,52.217930,7259077
2016-08-19,60.286259,60.534351,59.990459,60.458015,51.996349,8887040
2016-08-22,60.353054,60.725189,60.190842,60.639313,52.152267,6756666
2016-08-23,60.791985,60.954197,60.467556,60.667938,52.176888,6076723
2016-08-24,60.687023,60.858780,59.646946,59.856869,51.479336,7842079
2016-08-25,59.980915,60.209923,59.417938,59.465649,51.142864,8329190
2016-08-26,59.618320,60.104961,59.332062,59.971375,51.577812,8167902
2016-08-29,60.038170,60.391220,59.770992,60.124046,51.709122,5843438
2016-08-30,60.076336,60.143131,59.646946,59.837788,51.462933,6474544
2016-08-31,60.190842,60.229008,59.561069,59.914124,51.528576,9285804
2016-09-01,59.828243,60.095421,59.532444,60.019085,51.618847,6858846
2016-09-02,59.723282,60.372135,59.723282,60.095421,51.684502,7978634
2016-09-06,60.104961,60.562977,59.895039,60.343510,51.897865,8310954
2016-09-07,60.410305,60.582062,59.732822,59.990459,51.594219,9084169
2016-09-08,59.589695,60.391220,59.475189,60.343510,51.897865,9627242
2016-09-09,59.818703,59.837788,59.465649,59.627865,51.282387,13191700
2016-09-12,59.160305,60.582062,59.074429,60.295803,51.856831,11139716
2016-09-13,59.513359,59.904579,58.559158,58.979008,51.096310,10714123
2016-09-14,59.083969,59.484734,58.492367,58.540077,50.716034,10922046
2016-09-15,58.435116,59.742367,58.320610,59.522900,51.567505,9429694
2016-09-16,59.589695,59.751907,59.217556,59.427483,51.484852,13029050
2016-09-19,59.675571,59.675571,58.511452,58.520992,50.699497,11829510
2016-09-20,59.064884,59.551525,58.864506,59.103054,51.203777,9653757
2016-09-21,59.408398,59.942749,59.026718,59.828243,51.832039,7565512
2016-09-22,60.038170,60.562977,59.952290,60.133587,52.096581,8853294
2016-09-23,59.990459,60.353054,59.828243,60.076336,52.046963,8048430
2016-09-26,59.666031,59.713741,59.045803,59.303436,51.377369,7319022
2016-09-27,59.456108,59.828243,58.998093,59.704197,51.724567,7693158
2016-09-28,60.114506,60.572517,59.637405,60.400764,52.328041,12361160
